Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M12;1.155.296
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M11;1.028.629
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M10;961.581
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M09;989.249
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M08;845.787
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M07;936.220
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M06;1.010.384
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M05;951.054
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M04;1.028.904
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M03;975.377
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M02;903.932
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2023M01;920.267
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M12;1.111.786
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M11;991.945
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M10;1.012.992
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M09;932.436
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M08;786.584
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M07;830.820
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M06;940.874
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M05;941.725
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M04;981.114
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M03;905.312
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M02;847.027
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2022M01;699.507
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2025M03;546.916
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2025M02;439.035
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2025M01;446.807
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M12;449.322
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M11;531.645
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M10;662.543
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M09;645.081
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M08;561.407
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M07;594.785
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M06;595.768
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M05;646.118
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M04;606.522
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M03;515.122
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M02;429.164
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2024M01;405.057
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M12;425.410
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M11;481.516
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M10;599.205
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M09;586.090
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M08;532.784
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M07;562.376
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M06;547.220
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M05;549.782
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M04;511.451
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M03;471.645
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M02;355.868
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2023M01;355.327
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M12;347.670
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M11;410.424
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M10;521.538
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M09;498.605
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M08;406.755
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M07;480.915
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M06;461.468
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M05;460.034
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M04;396.769
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M03;323.693
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M02;236.771
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Viajero;2022M01;182.870
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;1.281.138
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;1.015.614
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;1.050.912
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;1.036.620
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;1.207.176
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;1.513.433
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;1.413.773
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;1.218.321
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;1.308.779
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;1.340.056
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;1.475.264
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;1.400.156
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;1.220.302
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;979.198
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;935.087
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;971.683
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;1.101.546
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;1.374.053
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;1.312.414
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;1.144.964
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;1.253.390
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;1.229.297
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;1.273.608
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;1.218.991
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;1.064.832
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;801.952
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;816.381
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;792.069
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;940.766
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;1.229.379
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;1.133.828
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;915.087
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;1.091.837
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;1.088.657
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;1.110.766
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;1.023.461
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;815.168
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;588.508
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;493.728
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2025M03;132.671
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2025M02;153.408
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2025M01;97.146
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M12;120.354
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M11;141.204
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M10;164.584
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M09;186.785
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M08;288.197
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M07;255.924
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M06;234.652
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M05;199.347
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M04;182.734
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M03;207.072
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M02;160.198
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2024M01;128.732
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M12;153.016
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M11;149.553
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M10;192.347
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M09;205.859
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M08;310.534
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M07;303.567
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M06;246.981
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M05;183.084
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M04;211.742
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M03;200.193
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M02;151.277
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2023M01;117.089
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M12;150.406
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M11;144.414
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M10;183.271
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M09;224.895
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M08;321.902
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M07;334.995
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M06;258.698
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M05;216.312
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M04;224.104
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M03;167.811
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M02;163.580
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Viajero;2022M01;88.951
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2025M03;281.012
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2025M02;302.301
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2025M01;184.578
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M12;246.894
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M11;280.232
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M10;356.124
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M09;480.451
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M08;931.876
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M07;744.573
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M06;539.943
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M05;435.035
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M04;392.049
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M03;486.039
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M02;332.350
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2024M01;235.670
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M12;320.961
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M11;312.401
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M10;418.870
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M09;512.787
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M08;955.822
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M07;827.761
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M06;595.536
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M05;405.516
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M04;500.061
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M03;425.355
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M02;304.848
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2023M01;234.979
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M12;325.403
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M11;312.872
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M10;409.627
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M09;572.890
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M08;1.054.152
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M07;954.203
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M06;623.015
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M05;511.654
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M04;565.287
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M03;403.973
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M02;341.683
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en España;Pernoctaciones;2022M01;173.183
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2025M03;290.380
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2025M02;214.602
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2025M01;172.623
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M12;172.185
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M11;228.488
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M10;438.413
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M09;428.461
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M08;408.043
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M07;392.984
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M06;400.618
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M05;462.905
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M04;422.625
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M03;299.828
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M02;213.584
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2024M01;179.559
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M12;172.359
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M11;232.281
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M10;431.038
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M09;430.755
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M08;409.226
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M07;386.126
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M06;371.988
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M05;441.821
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M04;389.890
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M03;263.505
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M02;162.123
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2023M01;147.553
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M12;133.820
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M11;160.002
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M10;356.494
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M09;395.299
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M08;343.423
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M07;351.335
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M06;352.500
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M05;374.336
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M04;317.492
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M03;192.994
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M02;124.117
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Viajero;2022M01;91.950
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;1.176.285
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;858.238
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;657.902
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;645.053
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;908.302
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;1.834.036
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;1.855.891
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;1.834.319
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;1.763.613
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;1.702.212
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;1.823.471
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;1.575.818
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;1.226.555
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;838.547
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;663.907
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;639.288
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;906.125
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;1.767.196
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;1.789.535
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;1.848.907
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;1.741.493
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;1.627.078
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;1.747.038
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;1.465.277
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;942.906
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;623.536
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;524.819
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;454.689
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;639.008
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;1.505.288
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;1.582.309
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;1.618.668
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;1.575.458
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;1.538.293
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;1.513.964
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;1.250.042
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;749.249
Total Nacional;01 Andalucía;29 Málaga;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;441.381
