Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M05;1.204.285
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M04;515.508
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M03;141.624
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M02;50.067
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M01;21.528
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;1.040.770
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;469.578
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;167.552
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;215.244
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;312.019
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;6.564.526
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;8.785.376
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;10.437.285
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;10.065.005
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;8.716.746
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;7.664.904
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;3.080.218
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;1.373.193
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;415.305
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;165.481
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;197.907
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;331.322
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;5.938.981
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;8.406.610
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;10.011.278
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;9.638.472
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;8.103.144
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;6.613.952
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;3.053.023
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;771.032
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;326.250
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;151.873
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;167.682
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;300.163
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;5.185.455
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;7.990.977
