RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Viajero;2025M03;7.680.722
Total;;Viajero;2025M02;6.539.960
Total;;Viajero;2025M01;5.776.075
Total;;Viajero;2024M12;6.553.489
Total;;Viajero;2024M11;7.171.221
Total;;Viajero;2024M10;10.774.309
Total;;Viajero;2024M09;11.821.379
Total;;Viajero;2024M08;13.586.095
Total;;Viajero;2024M07;12.703.213
Total;;Viajero;2024M06;11.905.082
Total;;Viajero;2024M05;11.776.729
Total;;Viajero;2024M04;9.394.506
Total;;Viajero;2024M03;8.433.226
Total;;Viajero;2024M02;6.512.168
Total;;Viajero;2024M01;5.660.859
Total;;Viajero;2023M12;6.586.138
Total;;Viajero;2023M11;6.798.815
Total;;Viajero;2023M10;10.390.441
Total;;Viajero;2023M09;11.627.872
Total;;Viajero;2023M08;13.266.497
Total;;Viajero;2023M07;12.680.483
Total;;Viajero;2023M06;11.535.550
Total;;Viajero;2023M05;10.580.202
Total;;Viajero;2023M04;9.829.384
Total;;Viajero;2023M03;7.361.364
Total;;Viajero;2023M02;5.967.064
Total;;Viajero;2023M01;5.367.962
Total;;Viajero;2022M12;6.054.556
Total;;Viajero;2022M11;6.284.698
Total;;Viajero;2022M10;9.743.259
Total;;Viajero;2022M09;11.050.305
Total;;Viajero;2022M08;12.889.916
Total;;Viajero;2022M07;12.292.936
Total;;Viajero;2022M06;10.990.468
Total;;Viajero;2022M05;9.920.671
Total;;Viajero;2022M04;8.689.822
Total;;Viajero;2022M03;6.061.398
Total;;Pernoctaciones;2025M03;22.344.694
Total;;Pernoctaciones;2025M02;18.412.444
Total;;Pernoctaciones;2025M01;16.910.798
Total;;Pernoctaciones;2024M12;18.033.188
Total;;Pernoctaciones;2024M11;20.055.197
Total;;Pernoctaciones;2024M10;33.942.709
Total;;Pernoctaciones;2024M09;39.040.928
Total;;Pernoctaciones;2024M08;47.895.779
Total;;Pernoctaciones;2024M07;44.038.012
Total;;Pernoctaciones;2024M06;38.226.012
Total;;Pernoctaciones;2024M05;35.744.250
Total;;Pernoctaciones;2024M04;27.142.842
Total;;Pernoctaciones;2024M03;24.520.234
Total;;Pernoctaciones;2024M02;18.581.766
Total;;Pernoctaciones;2024M01;16.491.597
Total;;Pernoctaciones;2023M12;17.913.857
Total;;Pernoctaciones;2023M11;19.023.828
Total;;Pernoctaciones;2023M10;32.415.687
Total;;Pernoctaciones;2023M09;37.980.229
Total;;Pernoctaciones;2023M08;46.695.607
Total;;Pernoctaciones;2023M07;43.109.417
Total;;Pernoctaciones;2023M06;36.255.025
Total;;Pernoctaciones;2023M05;32.187.667
Total;;Pernoctaciones;2023M04;28.046.754
Total;;Pernoctaciones;2023M03;20.597.741
Total;;Pernoctaciones;2023M02;16.816.547
Total;;Pernoctaciones;2023M01;15.472.477
Total;;Pernoctaciones;2022M12;16.627.833
Total;;Pernoctaciones;2022M11;17.661.676
Total;;Pernoctaciones;2022M10;29.865.924
Total;;Pernoctaciones;2022M09;35.999.861
Total;;Pernoctaciones;2022M08;46.140.100
Total;;Pernoctaciones;2022M07;42.121.775
Total;;Pernoctaciones;2022M06;35.111.326
Total;;Pernoctaciones;2022M05;29.785.395
Total;;Pernoctaciones;2022M04;25.197.638
Total;;Pernoctaciones;2022M03;17.632.648
Total;Residentes en España;Viajero;2025M03;3.780.529
Total;Residentes en España;Viajero;2025M02;3.419.893
Total;Residentes en España;Viajero;2025M01;2.919.287
Total;Residentes en España;Viajero;2024M12;3.649.144
Total;Residentes en España;Viajero;2024M11;3.764.839
Total;Residentes en España;Viajero;2024M10;4.524.933
Total;Residentes en España;Viajero;2024M09;5.009.311
Total;Residentes en España;Viajero;2024M08;6.356.384
Total;Residentes en España;Viajero;2024M07;5.748.404
Total;Residentes en España;Viajero;2024M06;5.399.073
Total;Residentes en España;Viajero;2024M05;4.926.356
Total;Residentes en España;Viajero;2024M04;4.190.383
Total;Residentes en España;Viajero;2024M03;4.412.670
Total;Residentes en España;Viajero;2024M02;3.422.317
Total;Residentes en España;Viajero;2024M01;2.919.329
Total;Residentes en España;Viajero;2023M12;3.736.128
Total;Residentes en España;Viajero;2023M11;3.586.759
Total;Residentes en España;Viajero;2023M10;4.589.155
Total;Residentes en España;Viajero;2023M09;5.122.862
Total;Residentes en España;Viajero;2023M08;6.381.789
Total;Residentes en España;Viajero;2023M07;6.012.479
Total;Residentes en España;Viajero;2023M06;5.455.490
Total;Residentes en España;Viajero;2023M05;4.553.381
Total;Residentes en España;Viajero;2023M04;4.983.861
Total;Residentes en España;Viajero;2023M03;3.983.218
Total;Residentes en España;Viajero;2023M02;3.337.995
Total;Residentes en España;Viajero;2023M01;2.964.949
Total;Residentes en España;Viajero;2022M12;3.567.132
Total;Residentes en España;Viajero;2022M11;3.541.109
Total;Residentes en España;Viajero;2022M10;4.657.750
Total;Residentes en España;Viajero;2022M09;5.178.258
Total;Residentes en España;Viajero;2022M08;6.526.507
Total;Residentes en España;Viajero;2022M07;6.075.062
Total;Residentes en España;Viajero;2022M06;5.422.886
Total;Residentes en España;Viajero;2022M05;4.672.236
Total;Residentes en España;Viajero;2022M04;4.733.976
Total;Residentes en España;Viajero;2022M03;3.432.900
Total;Residentes en España;Pernoctaciones;2025M03;8.016.309
Total;Residentes en España;Pernoctaciones;2025M02;6.567.323
Total;Residentes en España;Pernoctaciones;2025M01;5.735.585
Total;Residentes en España;Pernoctaciones;2024M12;7.212.015
Total;Residentes en España;Pernoctaciones;2024M11;7.641.047
Total;Residentes en España;Pernoctaciones;2024M10;9.668.865
Total;Residentes en España;Pernoctaciones;2024M09;11.701.195
Total;Residentes en España;Pernoctaciones;2024M08;17.325.504
Total;Residentes en España;Pernoctaciones;2024M07;14.790.887
Total;Residentes en España;Pernoctaciones;2024M06;12.257.046
Total;Residentes en España;Pernoctaciones;2024M05;10.580.572
Total;Residentes en España;Pernoctaciones;2024M04;8.911.869
Total;Residentes en España;Pernoctaciones;2024M03;9.421.644
Total;Residentes en España;Pernoctaciones;2024M02;6.774.732
Total;Residentes en España;Pernoctaciones;2024M01;5.762.176
Total;Residentes en España;Pernoctaciones;2023M12;7.363.463
Total;Residentes en España;Pernoctaciones;2023M11;6.957.475
Total;Residentes en España;Pernoctaciones;2023M10;9.662.174
Total;Residentes en España;Pernoctaciones;2023M09;11.783.151
Total;Residentes en España;Pernoctaciones;2023M08;17.548.462
Total;Residentes en España;Pernoctaciones;2023M07;15.303.797
Total;Residentes en España;Pernoctaciones;2023M06;12.216.070
Total;Residentes en España;Pernoctaciones;2023M05;9.784.069
Total;Residentes en España;Pernoctaciones;2023M04;10.749.390
Total;Residentes en España;Pernoctaciones;2023M03;8.037.671
Total;Residentes en España;Pernoctaciones;2023M02;6.508.332
Total;Residentes en España;Pernoctaciones;2023M01;5.810.812
Total;Residentes en España;Pernoctaciones;2022M12;7.121.128
Total;Residentes en España;Pernoctaciones;2022M11;7.046.984
Total;Residentes en España;Pernoctaciones;2022M10;9.771.323
Total;Residentes en España;Pernoctaciones;2022M09;12.065.204
Total;Residentes en España;Pernoctaciones;2022M08;18.268.800
Total;Residentes en España;Pernoctaciones;2022M07;15.608.687
Total;Residentes en España;Pernoctaciones;2022M06;12.216.496
Total;Residentes en España;Pernoctaciones;2022M05;10.052.067
Total;Residentes en España;Pernoctaciones;2022M04;10.260.559
Total;Residentes en España;Pernoctaciones;2022M03;7.071.757
Total;Residentes en el Extranjero;Viajero;2025M03;3.900.193
Total;Residentes en el Extranjero;Viajero;2025M02;3.120.066
Total;Residentes en el Extranjero;Viajero;2025M01;2.856.788
Total;Residentes en el Extranjero;Viajero;2024M12;2.904.344
Total;Residentes en el Extranjero;Viajero;2024M11;3.406.382
Total;Residentes en el Extranjero;Viajero;2024M10;6.249.376
Total;Residentes en el Extranjero;Viajero;2024M09;6.812.069
Total;Residentes en el Extranjero;Viajero;2024M08;7.229.711
Total;Residentes en el Extranjero;Viajero;2024M07;6.954.809
Total;Residentes en el Extranjero;Viajero;2024M06;6.506.010
Total;Residentes en el Extranjero;Viajero;2024M05;6.850.373
Total;Residentes en el Extranjero;Viajero;2024M04;5.204.123
Total;Residentes en el Extranjero;Viajero;2024M03;4.020.556
Total;Residentes en el Extranjero;Viajero;2024M02;3.089.851
Total;Residentes en el Extranjero;Viajero;2024M01;2.741.530
Total;Residentes en el Extranjero;Viajero;2023M12;2.850.010
Total;Residentes en el Extranjero;Viajero;2023M11;3.212.056
Total;Residentes en el Extranjero;Viajero;2023M10;5.801.286
Total;Residentes en el Extranjero;Viajero;2023M09;6.505.010
Total;Residentes en el Extranjero;Viajero;2023M08;6.884.708
Total;Residentes en el Extranjero;Viajero;2023M07;6.668.004
Total;Residentes en el Extranjero;Viajero;2023M06;6.080.059
Total;Residentes en el Extranjero;Viajero;2023M05;6.026.821
Total;Residentes en el Extranjero;Viajero;2023M04;4.845.523
Total;Residentes en el Extranjero;Viajero;2023M03;3.378.146
Total;Residentes en el Extranjero;Viajero;2023M02;2.629.069
Total;Residentes en el Extranjero;Viajero;2023M01;2.403.013
Total;Residentes en el Extranjero;Viajero;2022M12;2.487.423
Total;Residentes en el Extranjero;Viajero;2022M11;2.743.589
Total;Residentes en el Extranjero;Viajero;2022M10;5.085.510
Total;Residentes en el Extranjero;Viajero;2022M09;5.872.047
Total;Residentes en el Extranjero;Viajero;2022M08;6.363.409
Total;Residentes en el Extranjero;Viajero;2022M07;6.217.875
Total;Residentes en el Extranjero;Viajero;2022M06;5.567.582
Total;Residentes en el Extranjero;Viajero;2022M05;5.248.435
Total;Residentes en el Extranjero;Viajero;2022M04;3.955.846
Total;Residentes en el Extranjero;Viajero;2022M03;2.628.498
Total;Residentes en el Extranjero;Pernoctaciones;2025M03;14.328.386
Total;Residentes en el Extranjero;Pernoctaciones;2025M02;11.845.120
Total;Residentes en el Extranjero;Pernoctaciones;2025M01;11.175.213
Total;Residentes en el Extranjero;Pernoctaciones;2024M12;10.821.173
Total;Residentes en el Extranjero;Pernoctaciones;2024M11;12.414.150
Total;Residentes en el Extranjero;Pernoctaciones;2024M10;24.273.845
Total;Residentes en el Extranjero;Pernoctaciones;2024M09;27.339.733
Total;Residentes en el Extranjero;Pernoctaciones;2024M08;30.570.274
Total;Residentes en el Extranjero;Pernoctaciones;2024M07;29.247.125
Total;Residentes en el Extranjero;Pernoctaciones;2024M06;25.968.966
Total;Residentes en el Extranjero;Pernoctaciones;2024M05;25.163.678
Total;Residentes en el Extranjero;Pernoctaciones;2024M04;18.230.973
Total;Residentes en el Extranjero;Pernoctaciones;2024M03;15.098.591
Total;Residentes en el Extranjero;Pernoctaciones;2024M02;11.807.033
Total;Residentes en el Extranjero;Pernoctaciones;2024M01;10.729.421
Total;Residentes en el Extranjero;Pernoctaciones;2023M12;10.550.395
Total;Residentes en el Extranjero;Pernoctaciones;2023M11;12.066.353
Total;Residentes en el Extranjero;Pernoctaciones;2023M10;22.753.513
Total;Residentes en el Extranjero;Pernoctaciones;2023M09;26.197.078
Total;Residentes en el Extranjero;Pernoctaciones;2023M08;29.147.145
Total;Residentes en el Extranjero;Pernoctaciones;2023M07;27.805.620
Total;Residentes en el Extranjero;Pernoctaciones;2023M06;24.038.955
Total;Residentes en el Extranjero;Pernoctaciones;2023M05;22.403.599
Total;Residentes en el Extranjero;Pernoctaciones;2023M04;17.297.363
Total;Residentes en el Extranjero;Pernoctaciones;2023M03;12.560.069
Total;Residentes en el Extranjero;Pernoctaciones;2023M02;10.308.214
Total;Residentes en el Extranjero;Pernoctaciones;2023M01;9.661.665
Total;Residentes en el Extranjero;Pernoctaciones;2022M12;9.506.705
Total;Residentes en el Extranjero;Pernoctaciones;2022M11;10.614.692
Total;Residentes en el Extranjero;Pernoctaciones;2022M10;20.094.601
Total;Residentes en el Extranjero;Pernoctaciones;2022M09;23.934.658
Total;Residentes en el Extranjero;Pernoctaciones;2022M08;27.871.300
Total;Residentes en el Extranjero;Pernoctaciones;2022M07;26.513.088
Total;Residentes en el Extranjero;Pernoctaciones;2022M06;22.894.830
Total;Residentes en el Extranjero;Pernoctaciones;2022M05;19.733.328
Total;Residentes en el Extranjero;Pernoctaciones;2022M04;14.937.079
Total;Residentes en el Extranjero;Pernoctaciones;2022M03;10.560.891
Total;Alemania;Viajero;2025M03;477.688
Total;Alemania;Viajero;2025M02;329.212
Total;Alemania;Viajero;2025M01;264.541
Total;Alemania;Viajero;2024M12;284.577
Total;Alemania;Viajero;2024M11;345.217
Total;Alemania;Viajero;2024M10;902.629
Total;Alemania;Viajero;2024M09;924.225
Total;Alemania;Viajero;2024M08;856.510
Total;Alemania;Viajero;2024M07;837.413
Total;Alemania;Viajero;2024M06;865.770
Total;Alemania;Viajero;2024M05;962.452
Total;Alemania;Viajero;2024M04;653.273
Total;Alemania;Viajero;2024M03;544.724
Total;Alemania;Viajero;2024M02;321.751
Total;Alemania;Viajero;2024M01;253.218
Total;Alemania;Viajero;2023M12;265.222
Total;Alemania;Viajero;2023M11;334.775
Total;Alemania;Viajero;2023M10;800.108
Total;Alemania;Viajero;2023M09;935.137
Total;Alemania;Viajero;2023M08;822.266
Total;Alemania;Viajero;2023M07;804.595
Total;Alemania;Viajero;2023M06;858.136
Total;Alemania;Viajero;2023M05;837.369
Total;Alemania;Viajero;2023M04;640.754
Total;Alemania;Viajero;2023M03;424.265
Total;Alemania;Viajero;2023M02;278.415
Total;Alemania;Viajero;2023M01;237.872
Total;Alemania;Viajero;2022M12;236.239
Total;Alemania;Viajero;2022M11;290.820
Total;Alemania;Viajero;2022M10;716.360
Total;Alemania;Viajero;2022M09;880.931
Total;Alemania;Viajero;2022M08;801.550
Total;Alemania;Viajero;2022M07;776.051
Total;Alemania;Viajero;2022M06;862.263
Total;Alemania;Viajero;2022M05;760.733
Total;Alemania;Viajero;2022M04;565.194
Total;Alemania;Viajero;2022M03;358.345
Total;Alemania;Pernoctaciones;2025M03;2.589.544
Total;Alemania;Pernoctaciones;2025M02;1.830.738
Total;Alemania;Pernoctaciones;2025M01;1.712.784
Total;Alemania;Pernoctaciones;2024M12;1.768.858
Total;Alemania;Pernoctaciones;2024M11;2.060.672
Total;Alemania;Pernoctaciones;2024M10;5.020.351
Total;Alemania;Pernoctaciones;2024M09;5.083.324
Total;Alemania;Pernoctaciones;2024M08;4.867.231
Total;Alemania;Pernoctaciones;2024M07;4.668.502
Total;Alemania;Pernoctaciones;2024M06;4.659.133
Total;Alemania;Pernoctaciones;2024M05;4.772.876
Total;Alemania;Pernoctaciones;2024M04;3.249.095
Total;Alemania;Pernoctaciones;2024M03;2.988.329
Total;Alemania;Pernoctaciones;2024M02;1.877.629
Total;Alemania;Pernoctaciones;2024M01;1.619.813
Total;Alemania;Pernoctaciones;2023M12;1.634.262
Total;Alemania;Pernoctaciones;2023M11;2.004.674
Total;Alemania;Pernoctaciones;2023M10;4.543.616
Total;Alemania;Pernoctaciones;2023M09;5.054.810
Total;Alemania;Pernoctaciones;2023M08;4.553.050
Total;Alemania;Pernoctaciones;2023M07;4.461.214
Total;Alemania;Pernoctaciones;2023M06;4.451.013
Total;Alemania;Pernoctaciones;2023M05;4.113.960
Total;Alemania;Pernoctaciones;2023M04;3.143.902
Total;Alemania;Pernoctaciones;2023M03;2.266.807
Total;Alemania;Pernoctaciones;2023M02;1.653.987
Total;Alemania;Pernoctaciones;2023M01;1.527.076
Total;Alemania;Pernoctaciones;2022M12;1.461.766
Total;Alemania;Pernoctaciones;2022M11;1.778.704
Total;Alemania;Pernoctaciones;2022M10;3.976.465
Total;Alemania;Pernoctaciones;2022M09;4.793.552
Total;Alemania;Pernoctaciones;2022M08;4.665.352
Total;Alemania;Pernoctaciones;2022M07;4.502.389
Total;Alemania;Pernoctaciones;2022M06;4.688.446
Total;Alemania;Pernoctaciones;2022M05;3.668.543
Total;Alemania;Pernoctaciones;2022M04;2.858.295
Total;Alemania;Pernoctaciones;2022M03;1.971.226
Total;Austria;Viajero;2025M03;35.819
Total;Austria;Viajero;2025M02;32.120
Total;Austria;Viajero;2025M01;21.770
Total;Austria;Viajero;2024M12;22.107
Total;Austria;Viajero;2024M11;28.494
Total;Austria;Viajero;2024M10;62.476
Total;Austria;Viajero;2024M09;62.621
Total;Austria;Viajero;2024M08;63.453
Total;Austria;Viajero;2024M07;65.256
Total;Austria;Viajero;2024M06;60.856
Total;Austria;Viajero;2024M05;79.886
Total;Austria;Viajero;2024M04;53.664
Total;Austria;Viajero;2024M03;44.892
Total;Austria;Viajero;2024M02;28.214
Total;Austria;Viajero;2024M01;19.240
Total;Austria;Viajero;2023M12;20.273
Total;Austria;Viajero;2023M11;27.479
Total;Austria;Viajero;2023M10;56.793
Total;Austria;Viajero;2023M09;62.045
Total;Austria;Viajero;2023M08;63.084
Total;Austria;Viajero;2023M07;64.943
Total;Austria;Viajero;2023M06;57.655
Total;Austria;Viajero;2023M05;68.696
Total;Austria;Viajero;2023M04;57.200
Total;Austria;Viajero;2023M03;29.806
Total;Austria;Viajero;2023M02;24.072
Total;Austria;Viajero;2023M01;18.615
Total;Austria;Viajero;2022M12;18.129
Total;Austria;Viajero;2022M11;21.391
Total;Austria;Viajero;2022M10;49.840
Total;Austria;Viajero;2022M09;56.407
Total;Austria;Viajero;2022M08;56.108
Total;Austria;Viajero;2022M07;62.461
Total;Austria;Viajero;2022M06;53.803
Total;Austria;Viajero;2022M05;61.177
Total;Austria;Viajero;2022M04;48.997
Total;Austria;Viajero;2022M03;22.928
Total;Austria;Pernoctaciones;2025M03;138.109
Total;Austria;Pernoctaciones;2025M02;132.337
Total;Austria;Pernoctaciones;2025M01;104.878
Total;Austria;Pernoctaciones;2024M12;95.396
Total;Austria;Pernoctaciones;2024M11;121.354
Total;Austria;Pernoctaciones;2024M10;231.159
Total;Austria;Pernoctaciones;2024M09;255.532
Total;Austria;Pernoctaciones;2024M08;287.829
Total;Austria;Pernoctaciones;2024M07;290.339
Total;Austria;Pernoctaciones;2024M06;242.578
Total;Austria;Pernoctaciones;2024M05;294.457
Total;Austria;Pernoctaciones;2024M04;183.930
Total;Austria;Pernoctaciones;2024M03;175.027
Total;Austria;Pernoctaciones;2024M02;120.959
Total;Austria;Pernoctaciones;2024M01;92.645
Total;Austria;Pernoctaciones;2023M12;86.582
Total;Austria;Pernoctaciones;2023M11;121.654
Total;Austria;Pernoctaciones;2023M10;212.340
Total;Austria;Pernoctaciones;2023M09;260.577
Total;Austria;Pernoctaciones;2023M08;299.893
Total;Austria;Pernoctaciones;2023M07;289.721
Total;Austria;Pernoctaciones;2023M06;230.713
Total;Austria;Pernoctaciones;2023M05;260.933
Total;Austria;Pernoctaciones;2023M04;194.998
Total;Austria;Pernoctaciones;2023M03;112.131
Total;Austria;Pernoctaciones;2023M02;109.134
Total;Austria;Pernoctaciones;2023M01;95.171
Total;Austria;Pernoctaciones;2022M12;78.147
Total;Austria;Pernoctaciones;2022M11;93.936
Total;Austria;Pernoctaciones;2022M10;178.167
Total;Austria;Pernoctaciones;2022M09;223.951
Total;Austria;Pernoctaciones;2022M08;262.337
Total;Austria;Pernoctaciones;2022M07;276.350
Total;Austria;Pernoctaciones;2022M06;207.640
Total;Austria;Pernoctaciones;2022M05;227.901
Total;Austria;Pernoctaciones;2022M04;175.205
Total;Austria;Pernoctaciones;2022M03;89.770
Total;Bélgica;Viajero;2025M03;95.955
Total;Bélgica;Viajero;2025M02;75.893
Total;Bélgica;Viajero;2025M01;62.490
Total;Bélgica;Viajero;2024M12;71.807
Total;Bélgica;Viajero;2024M11;80.633
Total;Bélgica;Viajero;2024M10;141.419
Total;Bélgica;Viajero;2024M09;166.823
Total;Bélgica;Viajero;2024M08;187.875
Total;Bélgica;Viajero;2024M07;239.254
Total;Bélgica;Viajero;2024M06;134.058
Total;Bélgica;Viajero;2024M05;153.471
Total;Bélgica;Viajero;2024M04;137.085
Total;Bélgica;Viajero;2024M03;96.694
Total;Bélgica;Viajero;2024M02;75.702
Total;Bélgica;Viajero;2024M01;63.212
Total;Bélgica;Viajero;2023M12;67.538
Total;Bélgica;Viajero;2023M11;78.287
Total;Bélgica;Viajero;2023M10;135.392
Total;Bélgica;Viajero;2023M09;164.049
Total;Bélgica;Viajero;2023M08;173.132
Total;Bélgica;Viajero;2023M07;227.444
Total;Bélgica;Viajero;2023M06;114.500
Total;Bélgica;Viajero;2023M05;150.287
Total;Bélgica;Viajero;2023M04;119.211
Total;Bélgica;Viajero;2023M03;76.888
Total;Bélgica;Viajero;2023M02;66.352
Total;Bélgica;Viajero;2023M01;59.982
Total;Bélgica;Viajero;2022M12;59.495
Total;Bélgica;Viajero;2022M11;69.020
Total;Bélgica;Viajero;2022M10;129.151
Total;Bélgica;Viajero;2022M09;159.125
Total;Bélgica;Viajero;2022M08;164.690
Total;Bélgica;Viajero;2022M07;233.125
Total;Bélgica;Viajero;2022M06;123.255
Total;Bélgica;Viajero;2022M05;128.810
Total;Bélgica;Viajero;2022M04;119.332
Total;Bélgica;Viajero;2022M03;78.803
Total;Bélgica;Pernoctaciones;2025M03;437.026
Total;Bélgica;Pernoctaciones;2025M02;338.716
Total;Bélgica;Pernoctaciones;2025M01;291.696
Total;Bélgica;Pernoctaciones;2024M12;352.995
Total;Bélgica;Pernoctaciones;2024M11;356.764
Total;Bélgica;Pernoctaciones;2024M10;679.326
Total;Bélgica;Pernoctaciones;2024M09;775.670
Total;Bélgica;Pernoctaciones;2024M08;792.295
Total;Bélgica;Pernoctaciones;2024M07;1.022.998
Total;Bélgica;Pernoctaciones;2024M06;592.177
Total;Bélgica;Pernoctaciones;2024M05;677.487
Total;Bélgica;Pernoctaciones;2024M04;569.836
Total;Bélgica;Pernoctaciones;2024M03;397.927
Total;Bélgica;Pernoctaciones;2024M02;337.289
Total;Bélgica;Pernoctaciones;2024M01;299.887
Total;Bélgica;Pernoctaciones;2023M12;325.506
Total;Bélgica;Pernoctaciones;2023M11;357.727
Total;Bélgica;Pernoctaciones;2023M10;582.917
Total;Bélgica;Pernoctaciones;2023M09;727.586
Total;Bélgica;Pernoctaciones;2023M08;724.555
Total;Bélgica;Pernoctaciones;2023M07;981.631
Total;Bélgica;Pernoctaciones;2023M06;522.825
Total;Bélgica;Pernoctaciones;2023M05;674.756
Total;Bélgica;Pernoctaciones;2023M04;475.320
Total;Bélgica;Pernoctaciones;2023M03;335.966
Total;Bélgica;Pernoctaciones;2023M02;311.754
Total;Bélgica;Pernoctaciones;2023M01;293.555
Total;Bélgica;Pernoctaciones;2022M12;285.934
Total;Bélgica;Pernoctaciones;2022M11;342.323
Total;Bélgica;Pernoctaciones;2022M10;533.996
Total;Bélgica;Pernoctaciones;2022M09;696.873
Total;Bélgica;Pernoctaciones;2022M08;683.468
Total;Bélgica;Pernoctaciones;2022M07;1.035.204
Total;Bélgica;Pernoctaciones;2022M06;544.104
Total;Bélgica;Pernoctaciones;2022M05;523.905
Total;Bélgica;Pernoctaciones;2022M04;500.566
Total;Bélgica;Pernoctaciones;2022M03;378.930
Total;Dinamarca;Viajero;2025M03;49.559
Total;Dinamarca;Viajero;2025M02;45.503
Total;Dinamarca;Viajero;2025M01;36.433
Total;Dinamarca;Viajero;2024M12;30.178
Total;Dinamarca;Viajero;2024M11;41.752
Total;Dinamarca;Viajero;2024M10;68.122
Total;Dinamarca;Viajero;2024M09;61.702
Total;Dinamarca;Viajero;2024M08;46.627
Total;Dinamarca;Viajero;2024M07;85.252
Total;Dinamarca;Viajero;2024M06;44.022
Total;Dinamarca;Viajero;2024M05;54.276
Total;Dinamarca;Viajero;2024M04;48.779
Total;Dinamarca;Viajero;2024M03;59.173
Total;Dinamarca;Viajero;2024M02;43.789
Total;Dinamarca;Viajero;2024M01;37.190
Total;Dinamarca;Viajero;2023M12;32.715
Total;Dinamarca;Viajero;2023M11;42.067
Total;Dinamarca;Viajero;2023M10;66.548
Total;Dinamarca;Viajero;2023M09;58.557
Total;Dinamarca;Viajero;2023M08;50.160
Total;Dinamarca;Viajero;2023M07;83.365
Total;Dinamarca;Viajero;2023M06;44.028
Total;Dinamarca;Viajero;2023M05;48.290
Total;Dinamarca;Viajero;2023M04;54.007
Total;Dinamarca;Viajero;2023M03;49.914
Total;Dinamarca;Viajero;2023M02;42.814
Total;Dinamarca;Viajero;2023M01;36.103
Total;Dinamarca;Viajero;2022M12;29.667
Total;Dinamarca;Viajero;2022M11;37.264
Total;Dinamarca;Viajero;2022M10;60.784
Total;Dinamarca;Viajero;2022M09;66.012
Total;Dinamarca;Viajero;2022M08;50.043
Total;Dinamarca;Viajero;2022M07;92.739
Total;Dinamarca;Viajero;2022M06;42.486
Total;Dinamarca;Viajero;2022M05;54.737
Total;Dinamarca;Viajero;2022M04;53.475
Total;Dinamarca;Viajero;2022M03;44.074
Total;Dinamarca;Pernoctaciones;2025M03;275.679
Total;Dinamarca;Pernoctaciones;2025M02;249.260
Total;Dinamarca;Pernoctaciones;2025M01;201.754
Total;Dinamarca;Pernoctaciones;2024M12;169.523
Total;Dinamarca;Pernoctaciones;2024M11;208.984
Total;Dinamarca;Pernoctaciones;2024M10;322.150
Total;Dinamarca;Pernoctaciones;2024M09;260.285
Total;Dinamarca;Pernoctaciones;2024M08;244.208
Total;Dinamarca;Pernoctaciones;2024M07;422.781
Total;Dinamarca;Pernoctaciones;2024M06;180.091
Total;Dinamarca;Pernoctaciones;2024M05;218.791
Total;Dinamarca;Pernoctaciones;2024M04;218.029
Total;Dinamarca;Pernoctaciones;2024M03;312.051
Total;Dinamarca;Pernoctaciones;2024M02;253.438
Total;Dinamarca;Pernoctaciones;2024M01;212.932
Total;Dinamarca;Pernoctaciones;2023M12;177.892
Total;Dinamarca;Pernoctaciones;2023M11;213.538
Total;Dinamarca;Pernoctaciones;2023M10;323.420
Total;Dinamarca;Pernoctaciones;2023M09;234.939
Total;Dinamarca;Pernoctaciones;2023M08;261.526
Total;Dinamarca;Pernoctaciones;2023M07;411.921
Total;Dinamarca;Pernoctaciones;2023M06;195.181
Total;Dinamarca;Pernoctaciones;2023M05;206.370
Total;Dinamarca;Pernoctaciones;2023M04;250.101
Total;Dinamarca;Pernoctaciones;2023M03;258.925
Total;Dinamarca;Pernoctaciones;2023M02;243.113
Total;Dinamarca;Pernoctaciones;2023M01;208.137
Total;Dinamarca;Pernoctaciones;2022M12;162.968
Total;Dinamarca;Pernoctaciones;2022M11;196.744
Total;Dinamarca;Pernoctaciones;2022M10;321.637
Total;Dinamarca;Pernoctaciones;2022M09;272.629
Total;Dinamarca;Pernoctaciones;2022M08;259.389
Total;Dinamarca;Pernoctaciones;2022M07;444.814
Total;Dinamarca;Pernoctaciones;2022M06;181.524
Total;Dinamarca;Pernoctaciones;2022M05;232.535
Total;Dinamarca;Pernoctaciones;2022M04;255.760
Total;Dinamarca;Pernoctaciones;2022M03;241.815
Total;Finlandia;Viajero;2025M03;40.093
Total;Finlandia;Viajero;2025M02;32.833
Total;Finlandia;Viajero;2025M01;28.588
Total;Finlandia;Viajero;2024M12;31.628
Total;Finlandia;Viajero;2024M11;40.038
Total;Finlandia;Viajero;2024M10;47.365
Total;Finlandia;Viajero;2024M09;25.284
Total;Finlandia;Viajero;2024M08;12.786
Total;Finlandia;Viajero;2024M07;22.654
Total;Finlandia;Viajero;2024M06;24.473
Total;Finlandia;Viajero;2024M05;29.373
Total;Finlandia;Viajero;2024M04;31.206
Total;Finlandia;Viajero;2024M03;42.542
Total;Finlandia;Viajero;2024M02;36.127
Total;Finlandia;Viajero;2024M01;34.610
Total;Finlandia;Viajero;2023M12;32.590
Total;Finlandia;Viajero;2023M11;43.287
Total;Finlandia;Viajero;2023M10;43.654
Total;Finlandia;Viajero;2023M09;25.067
Total;Finlandia;Viajero;2023M08;14.015
Total;Finlandia;Viajero;2023M07;23.440
